                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.34265,                0.19437,                0.80427,                      1,                0.96149,                0.98722,                0.92911,                0.42542,                0.23793,                0.90298,              0.0071686,              0.0071686,              0.0071686
                    145,                0.34098,                0.19553,                0.80351,                      1,                 0.9615,                0.99049,                 0.9284,                0.43256,                   0.23,                0.90405,              0.0071488,              0.0071488,              0.0071488
                    146,                0.33861,                0.19563,                0.80287,                      1,                0.96151,                0.99398,                0.92831,                 0.4267,                0.22326,                0.90413,               0.007129,               0.007129,               0.007129
                    147,                0.33966,                0.19491,                0.80381,                0.99777,                0.96164,                0.99457,                0.92902,                0.42669,                0.22124,                0.90383,              0.0071092,              0.0071092,              0.0071092
                    148,                0.33813,                0.19336,                0.80264,                0.99757,                0.96164,                0.99472,                 0.9321,                 0.4242,                0.21784,                 0.9034,              0.0070894,              0.0070894,              0.0070894
                    149,                0.33554,                0.19225,                0.80376,                      1,                0.96915,                0.99479,                0.93245,                0.41928,                0.21609,                0.90334,              0.0070696,              0.0070696,              0.0070696
                    150,                0.33411,                0.19079,                0.80103,                0.99737,                0.96869,                0.99469,                0.93273,                0.41886,                0.21671,                0.90361,              0.0070498,              0.0070498,              0.0070498
                    151,                0.33227,                0.19058,                0.80171,                      1,                0.96895,                0.99485,                 0.9299,                0.41771,                0.21317,                0.90375,                0.00703,                0.00703,                0.00703
                    152,                0.33187,                0.18995,                0.80517,                      1,                0.96836,                0.99487,                0.93023,                 0.4165,                0.21141,                0.90359,              0.0070102,              0.0070102,              0.0070102
                    153,                0.32913,                0.19037,                0.80316,                      1,                0.97129,                0.99497,                0.93096,                0.41008,                0.20144,                0.90293,              0.0069904,              0.0069904,              0.0069904
                    154,                0.32692,                0.18736,                0.80118,                      1,                0.97546,                0.99497,                0.92965,                0.40936,                0.20029,                0.90293,              0.0069706,              0.0069706,              0.0069706
                    155,                0.33005,                 0.1901,                0.80214,                      1,                0.97791,                  0.995,                0.92941,                0.40747,                0.19101,                0.90316,              0.0069508,              0.0069508,              0.0069508
                    156,                0.32699,                0.18864,                0.80374,                      1,                0.97945,                  0.995,                0.92937,                0.41542,                0.19135,                0.90377,               0.006931,               0.006931,               0.006931
                    157,                0.32659,                0.18754,                0.80234,                      1,                0.98435,                  0.995,                0.92687,                0.41925,                0.18926,                0.90461,              0.0069112,              0.0069112,              0.0069112
                    158,                 0.3215,                0.18585,                0.79954,                      1,                 0.9815,                  0.995,                0.92916,                0.41241,                0.18304,                0.90411,              0.0068914,              0.0068914,              0.0068914
